310,PM,TARGET ABSENT,FALSE ID,4,MODERATE EVENING,59,13,2,2,27,12,25,10,408.33,290,290	
312,PM,TARGET ABSENT,FALSE ID,7,NEITHER,72,7,2,1,33,11,34,11,424.285714285714,250,250	
313,PM,TARGET ABSENT,FALSE ID,3,MODERATE EVENING,54,9,3,3,16,16,13,14,406.428571428571,345,345	
314,PM,TARGET ABSENT,FALSE ID,4,NEITHER,75,7,2,1,32,18,45,14,472.857142857143,510,510	
316,PM,TARGET ABSENT,NO ID,3,NEITHER,56,6,4,3,18,10,16,12,448,450,450	
317,PM,TARGET ABSENT,FALSE ID,2,MODERATE MORNING,73,6,2,3,37,20,31,14,430,390,390	
318,PM,TARGET ABSENT,NO ID,6,NEITHER,62,7,2,4,31,11,21,14,465.714285714286,550,550	
320,PM,TARGET ABSENT,NO ID,4,NEITHER,67,3,2,3,24,13,20,13,463.571428571429,540,540	
322,PM,TARGET ABSENT,NO ID,5,NEITHER,44,10,5,5,28,12,21,13,454.285714285714,410,410	
324,PM,TARGET ABSENT,NO ID,6,NEITHER,63,10,3,3,23,11,15,10,450,600,600	
326,PM,TARGET ABSENT,FALSE ID,4,NEITHER,61,3,2,1,30,13,32,17,525.714285714286,520,520	
328,PM,TARGET ABSENT,FALSE ID,4,NEITHER,45,10,5,5,21,12,20,11,505.714285714286,530,530	
330,PM,TARGET ABSENT,NO ID,7,NEITHER,57,6,1,2,30,12,22,12,470,500,500	
332,PM,TARGET ABSENT,NO ID,5,NEITHER,47,3,1,2,26,23,24,16,463.571428571429,390,390	
333,PM,TARGET ABSENT,FALSE ID,6,MODERATE EVENING,70,2,3,2,18,13,28,14,585.714285714286,605,605	
334,PM,TARGET ABSENT,NO ID,3,MODERATE EVENING,66,8,2,3,30,13,28,15,477.142857142857,555,555	
335,PM,TARGET ABSENT,NO ID,4,NEITHER,53,1,2,2,17,13,30,14,420,380,380	
336,PM,TARGET ABSENT,NO ID,3,MODERATE EVENING,68,11,5,6,18,13,13,11,502.857142857143,330,330	
22,AM,TARGET ABSENT,NO ID,3,NEITHER,57,3,3,5,18,11,17,10,470,540,540	
338,PM,TARGET ABSENT,FALSE ID,4,NEITHER,45,11,2,3,25,13,22,13,457.857142857143,500,500	
340,PM,TARGET ABSENT,FALSE ID,6,NEITHER,66,5,2,2,28,11,26,11,457.857142857143,450,450	
341,PM,TARGET ABSENT,FALSE ID,5,MODERATE EVENING,70,6,2,2,26,13,22,13,477.857142857143,500,500	
342,PM,TARGET ABSENT,NO ID,5,NEITHER,66,8,3,2,30,18,26,13,417.857142857143,480,480	
344,PM,TARGET ABSENT,FALSE ID,5,NEITHER,34,8,4,5,22,18,16,20,431.857142857143,365,365	
346,PM,TARGET ABSENT,NO ID,5,NEITHER,39,5,3,2,24,12,17,12,453.571428571429,475,475	
348,PM,TARGET ABSENT,NO ID,5,MODERATE EVENING,70,8,3,4,28,12,30,14,377.857142857143,315,315	
